[2287, 14123, 24924]
[12885, 12423, 15999]
[14924, 3466, 22790]
[15999, 2774, 15173]
[17038, 14924, 17038]
[23051, 6056, 12749]
[12365, 15395, 17655]
[7715, 19527, 9862]
[12365, 12545, 18453]
[3948, 10878, 19146]
[1488, 10801, 19489]
[16506, 14351, 543]
[5052, 23647, 21776]
[238, 22964, 16543]
[8968, 6218, 21508]
[19469, 21587, 8877]
[14615, 7307, 18208]
[25849, 22, 106]
[11052, 106, 14599]
[22556, 18109, 25316]
[10268, 22989, 12545]
[23741, 13989, 16858]
[21012, 21281, 13276]
[22599, 23153, 14864]
[1588, 19463, 18866]
[5469, 6857, 14265]
[4743, 1545, 449]
[7046, 17157, 16415]
[17075, 13831, 7045]
[6944, 26178, 20116]
[231, 16414, 3096]
[178, 15971, 17599]
[5901, 14599, 7307]
[1992, 8184, 7650]
[676, 21508, 11964]
[11630, 7087, 10543]
[22691, 11696, 16148]
[17874, 20850, 13220]
[1653, 2287, 10310]
[16755, 13614, 22778]
[10310, 9572, 24753]
[12149, 17086, 20478]
[20478, 21012, 16414]
[2848, 9870, 11891]
[18487, 16414, 18453]
[7447, 3387, 4703]
[22423, 16032, 16032]
[25181, 12491, 24503]
[12491, 13008, 5934]
[16717, 1594, 6838]
[16967, 13096, 21508]
[16083, 16778, 5510]
[8612, 1588, 7689]
[8128, 22738, 25648]
[21910, 14485, 19469]
[8261, 20662, 19808]
[16389, 18866, 21508]
[9194, 7635, 15244]
[10762, 21508, 13831]
[6443, 19936, 19932]
[19936, 19936, 19936]
[22555, 9207, 13276]
[45, 13276, 8916]
[9098, 24568, 4550]
[14638, 45, 25006]
[4493, 5346, 21048]
[3096, 2710, 15003]
[25934, 24924, 23458]
[10243, 19463, 22336]
[7533, 11175, 3872]
[10243, 8851, 13929]
[19992, 18940, 24835]
[14485, 12675, 12545]
[2386, 18899, 6904]
[4125, 5901, 18899]
[1124, 15793, 1995]
[19489, 23880, 13096]
[16108, 13008, 25379, 13714]
[16389, 6154, 12101, 23038]
[8732, 18552, 24718, 6340]
[4550, 22366, 11861, 6154]
[22836, 16258, 14123, 11815]
[2741, 23967, 25346, 14534]
[10163, 18621, 12551, 17588]
[12551, 12551, 12551, 12551]
[18924, 345, 20635, 19423]
[2115, 25271, 21012, 18940]
[6532, 17808, 11670, 11876]
[19489, 10251, 7689, 10251]
[8595, 14691, 25896, 25607]
[1058, 25607, 2710, 21012]
[2512, 17584, 4377, 13404]
[2087, 14599, 17944, 14599]
[10354, 4575, 24924, 3651]
[13831, 45, 24559, 16389]
[15947, 21968, 14924, 1090]
[14485, 4180, 13801, 23344]
[231, 21281, 16032, 7447]
[16389, 4952, 22790, 17559]
[5166, 23841, 24199, 20427]
[22177, 17800, 4952, 3651]
[4512, 3939, 18143, 17751]
[17626, 21508, 3420, 4624]
[580, 6431, 3731, 21544]
[6700, 16389, 6179, 11785]
[12112, 1044, 20108, 20562]
[16389, 6179, 22644, 5695]
[24959, 4782, 4575, 22644]
[12365, 22644, 10243, 17655]
[13032, 22691, 8879, 4164]
[6179, 16389, 22555, 13801]
[4967, 8879, 25758, 231]
[14403, 4416, 14485, 22691]
[3383, 9128, 3850, 20122]
