[2654, 20511]
[1352, 1857, 2644]
[633, 35, 2894]
[555, 758, 248]
[2062, 171, 2439]
[1932, 67, 32]
[2161, 633, 1302]
[2096, 2912, 122]
[2361, 2643, 1606]
[1352, 2912, 2159]
[2912, 946, 1638]
[2881, 2626, 267]
[1352, 862, 1425]
[1002, 1070, 35]
[501, 501, 501]
[651, 651, 651]
[607, 607, 607]
[184, 184, 184]
[903, 903, 903]
[797, 797, 797]
[341, 341, 341]
[397, 397, 397]
[460, 460, 460]
[648, 648, 648]
[354, 354, 354]
[487, 487, 487]
[257, 257, 257]
[798, 798, 798]
[2032, 2350]
[423, 869]
[267, 758]
[1425, 6]
[2437, 2912]
[35, 2894]
[1259, 2799]
[2167, 1638]
[2062, 426]
[686, 1808]
[10, 10]
[540, 540]
[1461, 1461]
